2026-08-02 01:40:23 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_overall_forecast_H1.pdf
2026-08-02 01:40:23 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_overall_forecast_H1.csv
2026-08-02 01:40:23 | INFO     | co2_forecast | forecast atlas: fig_best_overall_forecast_H1.pdf (11 forecast points)
2026-08-02 01:40:23 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_overall_forecast_H2.pdf
2026-08-02 01:40:23 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_overall_forecast_H2.csv
2026-08-02 01:40:23 | INFO     | co2_forecast | forecast atlas: fig_best_overall_forecast_H2.pdf (8 forecast points)
2026-08-02 01:40:24 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_overall_forecast_H4.pdf
2026-08-02 01:40:24 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_overall_forecast_H4.csv
2026-08-02 01:40:24 | INFO     | co2_forecast | forecast atlas: fig_best_overall_forecast_H4.pdf (8 forecast points)
2026-08-02 01:40:24 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_A_vs_B_forecast_H1.pdf
2026-08-02 01:40:24 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_A_vs_B_forecast_H1.csv
2026-08-02 01:40:24 | INFO     | co2_forecast | forecast atlas: fig_best_A_vs_B_forecast_H1.pdf
2026-08-02 01:40:25 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_A_vs_B_forecast_H2.pdf
2026-08-02 01:40:25 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_A_vs_B_forecast_H2.csv
2026-08-02 01:40:25 | INFO     | co2_forecast | forecast atlas: fig_best_A_vs_B_forecast_H2.pdf
2026-08-02 01:40:25 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/forecasting/fig_best_A_vs_B_forecast_H4.pdf
2026-08-02 01:40:25 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig_best_A_vs_B_forecast_H4.csv
2026-08-02 01:40:25 | INFO     | co2_forecast | forecast atlas: fig_best_A_vs_B_forecast_H4.pdf
2026-08-02 01:40:25 | INFO     | co2_forecast | ============================================================
2026-08-02 01:40:25 | INFO     | co2_forecast | Script 15 complete! 36/36 forecast figures generated -> outputs/figures/pdf/forecasting
2026-08-02 01:40:25 | INFO     | co2_forecast | ============================================================
