2026-08-02 01:39:58 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig02_predictor_governance_map.csv
2026-08-02 01:39:58 | INFO     | co2_forecast | fig02: 37 features x 9 governance columns
2026-08-02 01:39:58 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig03_grid_aggregation_quality.pdf
2026-08-02 01:39:58 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig03_grid_aggregation_quality.csv
2026-08-02 01:39:58 | INFO     | co2_forecast | fig03: 36 quarters, 2 excluded
2026-08-02 01:39:58 | INFO     | co2_forecast | Pareto filter: 20 -> 16 alternatives
2026-08-02 01:39:58 | INFO     | co2_forecast | VIKOR ranking complete. Best: A3/all_features/lightgbm
2026-08-02 01:39:58 | INFO     | co2_forecast |   Acceptable advantage: True
2026-08-02 01:39:58 | INFO     | co2_forecast |   Acceptable stability: True
2026-08-02 01:39:59 | INFO     | co2_forecast | Pareto filter: 100 -> 48 alternatives
2026-08-02 01:39:59 | INFO     | co2_forecast | VIKOR ranking complete. Best: A1/fs_linear/catboost
2026-08-02 01:39:59 | INFO     | co2_forecast |   Acceptable advantage: True
2026-08-02 01:39:59 | INFO     | co2_forecast |   Acceptable stability: True
2026-08-02 01:40:00 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig03a_stream_A_global_comparison.pdf
2026-08-02 01:40:00 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig03a_stream_A_global_comparison.csv
2026-08-02 01:40:00 | INFO     | co2_forecast | fig03a: 20 Stream A candidates
2026-08-02 01:40:00 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig11a_stream_A_pareto_frontier.pdf
2026-08-02 01:40:00 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig11a_stream_A_pareto_frontier.csv
2026-08-02 01:40:00 | INFO     | co2_forecast | fig13: 16 non-dominated of 20 total
2026-08-02 01:40:01 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig03b_stream_B_global_overview.pdf
2026-08-02 01:40:01 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig03b_stream_B_global_overview.csv
2026-08-02 01:40:01 | INFO     | co2_forecast | fig03b: 100 Stream B candidates across 4 panels
2026-08-02 01:40:01 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig03c_stream_B_shortlist_magnified.pdf
2026-08-02 01:40:01 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig03c_stream_B_shortlist_magnified.csv
2026-08-02 01:40:01 | INFO     | co2_forecast | fig03c: 15 shortlisted candidates
2026-08-02 01:40:02 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig11b_stream_B_pareto_frontier.pdf
2026-08-02 01:40:02 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig11b_stream_B_pareto_frontier.csv
2026-08-02 01:40:02 | INFO     | co2_forecast | fig13: 48 non-dominated of 100 total
2026-08-02 01:40:02 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig03d_best_A_vs_best_B.pdf
2026-08-02 01:40:02 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig03d_best_A_vs_best_B.csv
2026-08-02 01:40:02 | INFO     | co2_forecast | fig03d: Best_A vs Best_B criterion profile
2026-08-02 01:40:03 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig05_incremental_configuration_value.pdf
2026-08-02 01:40:03 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig05_incremental_configuration_value.csv
2026-08-02 01:40:03 | INFO     | co2_forecast | fig05: 4 comparisons
