model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
catboost,5019.730186782693,0.6887347930173113,0.799608655956023,0.0008752459951302,1141.535933399104,7269.442648715325,4470.325901977608,5497.549623295429,4.354835559554501,4.233486244267224,0.6333966111941639,0.5123722293165809,5927.510389582811,6434.705953079706,5.829009503467865,5.754184146398489,0.799608655956023,0.3048384594222473,5031.570594595227,5474.720221166095,4.8147692025930295,4.82242624604134,0.6607694531671128,0.6007323843289238,A2,panel2_common_period,fs_xgboost_shap,5,7,10.233753204345703
lstm,7476.487448508495,1.0276447609145547,1.0754051461983825,0.0010570789140403,945.0031665732762,9000.357291666625,7343.127982954516,8035.258178809698,7.130469902886773,7.053504974231919,1.0404414537004654,-0.0417170817905321,7223.809570312474,7931.0269507047615,7.168208329782814,7.027789163138717,0.9744766827488184,-0.0560565557290397,8188.902929687476,8769.347727691673,7.882758436477072,7.893890176394364,1.0754051461983825,-0.0244123580749873,A2,panel2_common_period,fs_xgboost_shap,5,7,1.9956271648406985
ridge,8094.193161233713,1.1155946709737063,1.2112008228827635,0.0010668049224235,936.3785018991014,9608.061091720689,8548.297094329797,10315.481962727788,8.613906995708112,8.131796540677486,1.2112008228827635,-0.7168373886133939,7769.020238587418,9860.994070971858,7.960080899571301,7.522961148623533,1.0480244525576026,-0.6325621405604891,7446.692712462944,8133.410896715946,7.410614073990315,7.185456934231136,0.9779346188252188,0.1187773469172203,A2,panel2_common_period,fs_permutation_stability,5,7,0.0049214363098144
random_forest,7512.226845862339,1.0322615658338552,1.0755073283571246,0.0013653872639164,731.3929455234936,8297.887035262822,7283.107046845857,8607.67124552397,7.266281931498971,6.992105996721736,1.0319371391682504,-0.1954225878574731,7442.45706304377,9100.058514831511,7.589471528493997,7.230727921923311,1.00397176859435,-0.3903261631061339,8189.681017631396,9025.800407795688,8.08548538794181,7.8931100363306275,1.0755073283571246,-0.0852047282537502,A2,panel2_common_period,fs_permutation_stability,5,7,0.8653442859649658
lightgbm,7575.277524240935,1.0410666416960128,1.0797733416780904,0.0013260709215888,753.1074792604932,8362.855980419234,7378.1962552509185,8797.546843509619,7.369279316455691,7.080086945372324,1.0454102468757347,-0.2487436434639114,7472.487661911851,9236.739545301603,7.634287076279603,7.258370331844283,1.0080228330750909,-0.4324046458891097,8222.165490209602,9057.777002368848,8.131098431271788,7.923519474072631,1.0797733416780904,-0.0929076730680074,A2,panel2_common_period,fs_permutation_stability,5,7,0.0238802433013916
catboost,8524.627047667913,1.1752559814861314,1.2914929090011102,0.0010224941890112,977.000668118258,9796.005776418157,9114.974885077612,10748.787278982743,9.158560592264626,8.63533695473949,1.2914929090011102,-0.8640993326228341,7953.787543808929,10319.426950020204,8.185674476991371,7.693150807934425,1.0729491725298246,-0.7878846169327243,7905.016709932137,8748.398560518086,7.897478900648277,7.624301793975167,1.0381238761331446,-0.0195237499995888,A2,panel2_common_period,fs_permutation_stability,5,7,8.32051682472229
lstm,7491.560504261336,1.029665927569141,1.0740254674631329,0.0010917271051155,914.9798225346152,8925.094270833293,7337.336789772698,8063.341153875499,7.138315276629162,7.047676054616635,1.039620904546653,-0.0490113431538499,7290.7089843749745,8012.693702989618,7.24588452628908,7.091620303664267,0.9835012726772936,-0.0779172166046791,8178.397070312476,8769.406377847901,7.87359639006045,7.883804217884169,1.0740254674631329,-0.0244260608377526,A2,panel2_common_period,fs_permutation_stability,5,7,0.9342286586761476
ridge,5850.659519844054,0.8059702974425205,0.8845889046333423,0.0010297018230039,970.154928212855,7028.225966455346,6243.166798017857,7177.641067481212,6.210949874010517,6.009459709561567,0.8845889046333423,0.1687845860353998,4926.271099565252,6166.438849895246,4.968831251449311,4.824809858853958,0.6645435864137915,0.3615936710497222,6255.973954827745,6663.0747744946375,6.176485372221341,6.058172185929387,0.8215638460085595,0.4085887243443595,A2,panel2_common_period,fs_consensus,17,7,0.0052711963653564
random_forest,5944.63137190139,0.8191979199180961,0.8849060613308062,0.000590457079028,1692.603202532752,8753.141202454877,6245.405196163035,7429.464881982388,6.162792315979313,5.905071867645511,0.8849060613308062,0.1094359022090321,5742.717538322524,7368.77262053639,5.470115853852683,5.551429452987553,0.774680489877023,0.0883699406607435,5495.567561615577,6051.863476498592,5.2646597212756605,5.270465940263001,0.721703711447931,0.5121138711665822,A2,panel2_common_period,fs_consensus,17,7,1.358004808425903
lightgbm,7387.927229509427,1.0161857730765944,1.1179851257805775,0.000281092124086,3556.552539941456,13323.56818946527,7554.962519229296,9370.424496201153,7.353945435313943,6.967343035586823,1.0704561059545608,-0.4166698324466698,6359.395027317632,9059.48592436112,5.936185842800683,6.242283228606357,0.8578689831439945,-0.3779562681333761,8513.137308497442,10564.14024136527,8.246988406227677,7.751150131053997,1.1179851257805775,-0.4866493392263047,A2,panel2_common_period,fs_consensus,17,7,0.1879415512084961
