comparison,alternative,baseline,panel,model,fs_option,horizon,mae_alternative,mae_baseline,absolute_error_change,percentage_improvement,ci_low,ci_high,dm_statistic,dm_p_value,n_pairs,dm_p_value_bh
A4-A2,A4,A2,panel2_common_period,random_forest,all_features,4,5683.839503078212,5241.602409587229,442.2370934909832,-8.437059107766414,-958.4653060865184,2217.822833867715,0.3469622678996936,0.7388166350235741,8,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,ridge,all_features,1,5587.904717345684,5732.884411144329,-144.9796937986448,2.528913604412019,-2348.241361599332,2191.573166441517,-0.1229919317862028,0.9045502788501594,11,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,ridge,all_features,2,3985.3499677983327,4204.478744429813,-219.12877663147992,5.211794135522426,-1647.938210992017,1268.7674427762347,-0.2345867848248886,0.8212434642557764,8,0.9775297036541042
A4-A2,A4,A2,panel2_common_period,ridge,all_features,4,5666.330711433855,6001.145728747768,-334.8150173139129,5.579184916473896,-952.091870458072,237.48700012022516,-0.7030416131160618,0.5047328917421954,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,catboost,all_features,1,5073.843714749245,4709.747339842081,364.0963749071643,-7.730698668845632,-1598.3998704443902,2175.6814969670863,0.3556165446236375,0.7295148606240707,11,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,catboost,all_features,2,3821.140777499151,4349.3270158585765,-528.1862383594253,12.144091176256586,-2730.127723680316,1442.8288082926886,-0.6619157948360149,0.5292052240395435,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,catboost,all_features,4,3830.814187263177,4307.369873017531,-476.5556857543543,11.063727977938957,-2008.68244954722,708.7467861800965,-0.9087722559232124,0.3936822071040613,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,lightgbm,all_features,1,5580.795346548988,2655.6686873421963,2925.126659206792,-110.14652065406058,80.72116151175837,6274.755146627629,1.7768670150953805,0.1059648431498965,11,0.5201910481904011
A4-A3,A4,A3,panel2_common_period,lightgbm,all_features,2,5770.985767255184,4263.28872199971,1507.6970452554742,-35.36464789436742,-1677.328619123265,5134.172235206134,0.5102688256642197,0.6255553385785104,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,lightgbm,all_features,4,3537.4326508062786,3557.5838082828777,-20.15115747659911,0.5664281872905581,-2519.387103562631,2332.173218804144,,,8,
A4-A3,A4,A3,panel2_common_period,lstm,all_features,1,6243.042329545464,7209.483096590879,-966.4407670454156,13.405132574655912,-3205.9159090908897,1447.937475142103,-0.7612812619202629,0.4640632391182753,11,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,lstm,all_features,2,6997.874804687519,7209.6210937499745,-211.7462890624556,2.936996082166074,-1788.640561523411,1173.6080322266016,-0.2954249590123916,0.7762398432911717,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,lstm,all_features,4,8511.257617187503,8203.761328124976,307.49628906252656,-3.748235434499249,-2751.152539062463,3608.191274414061,0.1134630303378809,0.912849049500036,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,random_forest,all_features,1,4690.139974458237,4899.7018472109285,-209.56187275269167,4.2770331601295535,-1796.8659794322225,1586.6819730442896,-0.2351930128925501,0.8188051874323345,11,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,random_forest,all_features,2,5379.135680908536,5313.438244041332,65.69743686720358,-1.2364392668133273,-2571.282553398965,2317.2417349396933,0.0354633069448665,0.9727003994843596,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,random_forest,all_features,4,5683.839503078212,4613.769326256934,1070.0701768212784,-23.19297089110016,-1204.258155550435,2876.163543027841,0.3891268112563689,0.7087486516712946,8,0.9775297036541042
A4-A3,A4,A3,panel2_common_period,ridge,all_features,1,5587.904717345684,7020.546106557269,-1432.6413892115852,20.406409522380063,-2405.132801461474,-225.50254162475,-2.477580982546716,0.032677913353142,11,0.3768162755708395
A4-A3,A4,A3,panel2_common_period,ridge,all_features,2,3985.3499677983327,4254.897314766353,-269.54734696802007,6.334990647895849,-1018.45775933474,563.2473016452277,,,8,
A4-A3,A4,A3,panel2_common_period,ridge,all_features,4,5666.330711433855,6464.494917194084,-798.1642057602294,12.346891999826534,-1539.6577477132366,-105.51007594784636,,,8,
