2026-08-23 21:08:05 | WARNING  | co2_forecast | Model training failed with params {'lookback': 7, 'hidden_size': 29, 'num_layers': 2, 'dropout': 0.2427013306774357, 'learning_rate': 0.0028812516459050695, 'batch_size': 16}: LSTM.fit: training data has 8 rows, giving only 1 sequence(s) with lookback=7; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-08-23 21:08:05 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:05 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-08-23 21:08:05 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:06 | INFO     | co2_forecast |   Iteration 0: Best fitness = 0.978976
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-08-23 21:08:06 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Model training failed with params {'lookback': 8, 'hidden_size': 44, 'num_layers': 1, 'dropout': 0.3238975389966341, 'learning_rate': 0.005520634690128072, 'batch_size': 8}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=8; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:07 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-08-23 21:08:08 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:08 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:08 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:08 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-08-23 21:08:09 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:09 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:10 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:10 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-08-23 21:08:10 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:10 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
